"TICKET","SYMBOL","ACTION","LOTS","OPEN TIME","CLOSE TIME","PROFIT","COMM","SWAP","COMMENT","T/P","S/L","OPEN PRICE","CLOSE PRICE","","",""
"768975076","AUDJPYr","Sell","0.01","2025-10-30 06:14:59","2025-10-30 06:25:26","0.02","0.0","0.0","","0.0","0.0","100.469","100.465","0.02","0","0"
"768971028","XAUUSDr","Sell","0.01","2025-10-30 04:51:49","2025-10-30 05:27:33","-5.42","0.0","0.0","[sl]","0.0","3934.19","3928.82","3934.24","-5.42","0","0"
"768967689","XAUUSDr","Buy","0.01","2025-10-30 04:33:33","2025-10-30 04:51:59","-10.53","0.0","0.0","","0.0","3925.54","3938.35","3927.82","-10.53","0","0"
"768967540","","Balance","0.01","2025-10-30 03:46:19","2025-10-30 03:46:19","19.0","0.0","0.0","Int. trans. (Add Funds)","0.0","0.0","0.0","0.0","0","19.0","0"
"768944794","USDJPYr","Sell","0.01","2025-10-29 17:08:14","2025-10-29 18:06:17","-1.0","0.0","0.0","so: 19.0%/0.2/1.0","0.0","0.0","151.951","152.103","-1.0","0","0"
"768944889","USDJPYr","Sell","0.01","2025-10-29 17:57:11","2025-10-29 18:06:03","-0.89","0.0","0.0","so: 20.0%/0.4/2.0","0.0","0.0","151.936","152.071","-0.89","0","0"
"768938990","GBPUSDr","Sell","0.01","2025-10-29 15:38:47","2025-10-29 16:26:55","-1.08","0.0","0.0","[sl]","0.0","1.32224","1.32119","1.32227","-1.08","0","0"
"768937755","USDJPYr","Sell","0.01","2025-10-29 15:20:28","2025-10-29 15:37:27","-0.09","0.0","0.0","","0.0","152.037","151.883","151.897","-0.09","0","0"
"768935578","USDJPYr","Sell","0.01","2025-10-29 14:53:54","2025-10-29 15:15:33","1.43","0.0","0.0","","0.0","0.0","152.231","152.013","1.43","0","0"
"768935178","XAUUSDr","Buy","0.01","2025-10-29 14:44:39","2025-10-29 14:53:19","-3.12","0.0","0.0","[sl]","0.0","4023.12","4026.21","4023.09","-3.12","0","0"
"768934080","XAUUSDr","Buy","0.01","2025-10-29 14:22:54","2025-10-29 14:39:41","-3.91","0.0","0.0","[sl]","0.0","4022.63","4026.52","4022.61","-3.91","0","0"
"768934155","XAUUSDr","Buy","0.01","2025-10-29 14:25:35","2025-10-29 14:29:57","-2.61","0.0","0.0","","0.0","0.0","4029.16","4026.55","-2.61","0","0"
"768933832","XAUUSDr","Buy","0.01","2025-10-29 14:18:20","2025-10-29 14:21:04","-0.75","0.0","0.0","","0.0","4022.63","4025.41","4024.66","-0.75","0","0"
"768933638","XAUUSDr","Buy","0.01","2025-10-29 14:15:52","2025-10-29 14:16:28","-3.29","0.0","0.0","[sl]","0.0","4025.77","4028.91","4025.62","-3.29","0","0"
"768933135","XAUUSDr","Buy","0.01","2025-10-29 14:11:49","2025-10-29 14:12:32","3.12","0.0","0.0","","0.0","4016.85","4020.87","4023.99","3.12","0","0"
"768932959","XAUUSDr","Sell","0.01","2025-10-29 14:09:00","2025-10-29 14:10:57","-2.14","0.0","0.0","[sl]","0.0","4020.25","4018.12","4020.26","-2.14","0","0"
"768932768","XAUUSDr","Sell","0.01","2025-10-29 14:05:01","2025-10-29 14:07:00","-0.12","0.0","0.0","","0.0","4019.53","4016.99","4017.11","-0.12","0","0"
"768932597","XAUUSDr","Sell","0.01","2025-10-29 14:04:01","2025-10-29 14:04:13","2.29","0.0","0.0","","0.0","0.0","4017.15","4014.86","2.29","0","0"
"768931897","XAUUSDr","Buy","0.01","2025-10-29 13:47:39","2025-10-29 13:57:51","2.72","0.0","0.0","","0.0","4012.84","4015.31","4018.03","2.72","0","0"
"768931775","XAUUSDr","Buy","0.01","2025-10-29 13:46:29","2025-10-29 13:47:17","-2.47","0.0","0.0","[sl]","0.0","4014.21","4016.65","4014.18","-2.47","0","0"
"768930908","XAUUSDr","Sell","0.01","2025-10-29 13:30:37","2025-10-29 13:39:09","0.68","0.0","0.0","","0.0","4023.89","4018.69","4018.01","0.68","0","0"
"768930181","XAUUSDr","Buy","0.01","2025-10-29 13:19:10","2025-10-29 13:29:14","-1.83","0.0","0.0","","0.0","4016.19","4021.08","4019.25","-1.83","0","0"
"768929822","XAUUSDr","Buy","0.01","2025-10-29 13:14:32","2025-10-29 13:14:54","-2.28","0.0","0.0","[sl]","0.0","4022.12","4024.39","4022.11","-2.28","0","0"
"768929672","XAUUSDr","Buy","0.01","2025-10-29 13:10:51","2025-10-29 13:14:54","-4.68","0.0","0.0","[sl]","0.0","4022.36","4026.82","4022.14","-4.68","0","0"
"768929241","XAUUSDr","Sell","0.01","2025-10-29 12:57:10","2025-10-29 13:00:50","-1.75","0.0","0.0","[sl]","0.0","4026.26","4024.58","4026.33","-1.75","0","0"
"768929081","XAUUSDr","Sell","0.01","2025-10-29 12:50:08","2025-10-29 12:52:50","0.02","0.0","0.0","","0.0","4030.76","4025.14","4025.12","0.02","0","0"
"768914502","USDJPYr","Buy","0.01","2025-10-29 09:07:33","2025-10-29 12:51:50","1.12","0.0","0.0","","152.882","0.0","152.102","152.272","1.12","0","0"
"768929031","","Balance","0.01","2025-10-29 12:48:39","2025-10-29 12:48:39","18.95","0.0","0.0","Int. trans. (Add Funds)","0.0","0.0","0.0","0.0","0","18.95","0"
"768912990","XAUUSDr","Sell","0.01","2025-10-29 08:51:50","2025-10-29 09:04:37","-5.44","0.0","0.0","[sl]","0.0","3984.12","3978.7","3984.14","-5.44","0","0"
"768912657","XAUUSDr","Buy","0.01","2025-10-29 08:43:53","2025-10-29 08:46:40","0.75","0.0","0.0","","0.0","0.0","3980.46","3981.21","0.75","0","0"
"768912430","XAUUSDr","Sell","0.01","2025-10-29 08:40:47","2025-10-29 08:42:43","-2.06","0.0","0.0","","0.0","0.0","3976.12","3978.18","-2.06","0","0"
"768912233","","Balance","0.01","2025-10-29 08:36:43","2025-10-29 08:36:43","8.59","0.0","0.0","Int. trans. (Add Funds)","0.0","0.0","0.0","0.0","0","8.59","0"
"768909095","XAUUSDr","Sell","0.01","2025-10-29 07:36:51","2025-10-29 08:25:08","-8.7","0.0","0.0","so: 0.8%/0.0/4.0","0.0","0.0","3964.74","3973.44","-8.7","0","0"
"768907695","XAUUSDr","Sell","0.01","2025-10-29 07:14:21","2025-10-29 08:25:04","-20.1","0.0","0.0","so: 18.4%/1.5/7.9","0.0","0.0","3951.91","3972.01","-20.1","0","0"
"768906899","XAUUSDr","Sell","0.02","2025-10-29 07:01:42","2025-10-29 07:03:46","-11.78","0.0","0.0","[sl]","0.0","3958.59","3952.75","3958.64","-11.78","0","0"
"768906898","XAUUSDr","Sell","0.02","2025-10-29 07:01:39","2025-10-29 07:03:46","-12.3","0.0","0.0","[sl]","0.0","3958.59","3952.49","3958.64","-12.3","0","0"
"768906892","XAUUSDr","Sell","0.02","2025-10-29 07:01:35","2025-10-29 07:03:46","-12.2","0.0","0.0","[sl]","0.0","3958.59","3952.54","3958.64","-12.2","0","0"
"768906889","XAUUSDr","Sell","0.02","2025-10-29 07:02:59","2025-10-29 07:03:46","-5.5","0.0","0.0","[sl]","0.0","3958.59","3955.89","3958.64","-5.5","0","0"
"768906882","XAUUSDr","Sell","0.02","2025-10-29 07:01:27","2025-10-29 07:03:46","-12.28","0.0","0.0","[sl]","0.0","3958.59","3952.5","3958.64","-12.28","0","0"
"768906877","XAUUSDr","Sell","0.02","2025-10-29 07:01:23","2025-10-29 07:03:46","-12.72","0.0","0.0","[sl]","0.0","3958.59","3952.28","3958.64","-12.72","0","0"
"768906363","XAUUSDr","Buy","0.02","2025-10-29 06:48:47","2025-10-29 07:01:17","-3.66","0.0","0.0","","0.0","3949.13","3954.54","3952.71","-3.66","0","0"
"768906358","XAUUSDr","Buy","0.02","2025-10-29 06:48:41","2025-10-29 07:01:16","-3.98","0.0","0.0","","0.0","3949.19","3954.54","3952.55","-3.98","0","0"
"768906084","XAUUSDr","Buy","0.02","2025-10-29 06:40:18","2025-10-29 07:01:14","-9.76","0.0","0.0","","0.0","3949.19","3957.17","3952.29","-9.76","0","0"
"768906064","XAUUSDr","Buy","0.02","2025-10-29 06:40:05","2025-10-29 07:01:13","-9.14","0.0","0.0","","0.0","3949.4","3956.73","3952.16","-9.14","0","0"
"768905849","XAUUSDr","Buy","0.02","2025-10-29 06:35:19","2025-10-29 07:01:12","-9.04","0.0","0.0","","0.0","3949.4","3956.59","3952.07","-9.04","0","0"
"768905096","XAUUSDr","Buy","0.02","2025-10-29 06:21:33","2025-10-29 06:24:43","-2.28","0.0","0.0","","0.0","3952.94","3959.11","3957.97","-2.28","0","0"
"768904667","XAUUSDr","Buy","0.01","2025-10-29 06:14:48","2025-10-29 06:15:58","-2.67","0.0","0.0","[sl]","0.0","3954.24","3956.9","3954.23","-2.67","0","0"
"768904228","XAUUSDr","Buy","0.02","2025-10-29 06:06:16","2025-10-29 06:15:07","-12.54","0.0","0.0","[sl]","0.0","3954.24","3960.25","3953.98","-12.54","0","0"
"768903382","XAUUSDr","Buy","0.02","2025-10-29 05:59:01","2025-10-29 06:15:07","-19.0","0.0","0.0","[sl]","0.0","3954.03","3963.48","3953.98","-19.0","0","0"
"768903655","XAUUSDr","Buy","0.02","2025-10-29 05:56:38","2025-10-29 06:13:52","-18.6","0.0","0.0","[sl]","0.0","3957.07","3966.29","3956.99","-18.6","0","0"
"768903142","XAUUSDr","Buy","0.02","2025-10-29 05:43:17","2025-10-29 06:13:08","-24.62","0.0","0.0","[sl]","0.0","3958.1","3970.33","3958.02","-24.62","0","0"
"768899375","XAUUSDr","Buy","0.02","2025-10-29 04:37:23","2025-10-29 05:26:27","37.98","0.0","0.0","","0.0","3957.5","3949.58","3968.57","37.98","0","0"
"768900016","XAUUSDr","Buy","0.02","2025-10-29 04:44:44","2025-10-29 05:22:52","23.52","0.0","0.0","","0.0","3947.34","3953.35","3965.11","23.52","0","0"
"768896010","XAUUSDr","Buy","0.02","2025-10-29 03:45:43","2025-10-29 04:32:25","-26.4","0.0","0.0","[sl]","0.0","3957.96","3971.05","3957.85","-26.4","0","0"
"768890722","XAUUSDr","Buy","0.02","2025-10-29 01:48:25","2025-10-29 02:23:17","24.02","0.0","0.0","","0.0","3945.93","3956.19","3968.2","24.02","0","0"
"768884223","","Balance","0.01","2025-10-28 20:10:56","2025-10-28 20:10:56","150.0","0.0","0.0","Int. trans. (Add Funds)","0.0","0.0","0.0","0.0","0","150.0","0"
"768884126","","Balance","0.01","2025-10-28 20:07:03","2025-10-28 20:07:03","-150.0","0.0","0.0","Int.Trans. (Remove Funds)","0.0","0.0","0.0","0.0","0","0","-150.0"
"768881431","XAUUSDr","Buy","0.02","2025-10-28 18:41:47","2025-10-28 20:00:27","17.28","0.0","0.0","","0.0","3950.2","3954.24","3962.88","17.28","0","0"
"768883704","XAUUSDr","Buy","0.02","2025-10-28 19:52:29","2025-10-28 19:58:56","12.48","0.0","0.0","","0.0","3950.03","3957.6","3963.84","12.48","0","0"
"768883629","XAUUSDr","Buy","0.02","2025-10-28 19:55:50","2025-10-28 19:58:12","4.46","0.0","0.0","","0.0","3953.33","3961.49","3963.72","4.46","0","0"
"768881014","XAUUSDr","Buy","0.02","2025-10-28 18:47:57","2025-10-28 19:25:25","21.9","0.0","0.0","","0.0","3955.65","3957.43","3968.38","21.9","0","0"
"768879297","XAUUSDr","Buy","0.02","2025-10-28 18:11:33","2025-10-28 18:37:37","-19.9","0.0","0.0","[sl]","0.0","3953.66","3963.42","3953.47","-19.9","0","0"
"768880236","XAUUSDr","Sell","0.02","2025-10-28 18:30:45","2025-10-28 18:33:17","-9.4","0.0","0.0","","0.0","0.0","3959.12","3963.82","-9.4","0","0"
"768877822","XAUUSDr","Sell","0.02","2025-10-28 17:55:19","2025-10-28 18:12:09","0.32","0.0","0.0","","0.0","3965.85","3964.48","3964.32","0.32","0","0"
"768874701","XAUUSDr","Buy","0.02","2025-10-28 16:40:05","2025-10-28 17:27:50","27.82","0.0","0.0","","0.0","3940.56","3943.55","3957.46","27.82","0","0"
