TICKET,OPEN_TIME,TYPE,SIZE,ITEM,PRICE,S_L,T_P,CLOSE_TIME,PRICE_CLOSE,COMMISSION,SWAP,PROFIT
123456,2024-01-15 09:30:00,buy,0.10,EURUSD,1.0850,1.0800,1.0900,2024-01-15 10:15:00,1.0875,-0.50,0.00,24.50
123457,2024-01-15 14:20:00,sell,0.20,GBPUSD,1.2650,1.2700,1.2600,2024-01-15 16:45:00,1.2625,-1.00,-0.25,49.75
123458,2024-01-16 08:15:00,buy,0.15,USDJPY,149.50,149.00,150.00,2024-01-16 11:30:00,149.25,-0.75,0.00,-37.25
123459,2024-01-16 13:45:00,sell,0.25,AUDUSD,0.6750,0.6800,0.6700,2024-01-17 09:20:00,0.6725,-1.25,-0.50,61.25
123460,2024-01-17 10:30:00,buy,0.30,XAUUSD,2050.00,2040.00,2070.00,2024-01-17 15:15:00,2065.00,-1.50,0.00,449.50
123461,2024-01-18 07:45:00,sell,0.10,BTCUSD,42500.00,43000.00,42000.00,2024-01-18 12:30:00,42750.00,-2.00,0.00,-25.00
123462,2024-01-18 16:20:00,buy,0.20,NZDUSD,0.6150,0.6100,0.6200,2024-01-19 08:45:00,0.6175,-1.00,-0.30,49.70
123463,2024-01-19 11:15:00,sell,0.35,SPX500,4750.00,4780.00,4720.00,2024-01-19 14:20:00,4735.00,-1.75,0.00,525.25
123464,2024-01-22 09:00:00,buy,0.15,USDCAD,1.3450,1.3400,1.3500,2024-01-22 13:15:00,1.3425,-0.75,0.00,-37.50
123465,2024-01-22 15:30:00,sell,0.25,EURGBP,0.8650,0.8700,0.8600,2024-01-23 10:45:00,0.8625,-1.25,-0.40,61.15
